O*NET-SOC Code	Related O*NET-SOC Code	Index
13-1041.02	43-5031.00	3
13-1041.02	43-5032.00	4
13-1041.02	33-3021.02	5
13-1041.02	43-4111.00	6
13-1041.02	53-6061.00	7
13-1041.02	33-3012.00	8
13-1041.02	21-1093.00	9
13-1041.02	33-9093.00	10
13-1041.03	13-1071.00	1
13-1041.03	23-1022.00	2
13-1041.03	13-1031.01	3
13-1041.03	41-3031.02	4
13-1041.03	13-2099.04	5
13-1041.03	13-1041.07	6
13-1041.03	21-1011.00	7
13-1041.03	41-3031.01	8
13-1041.03	21-1092.00	9
13-1041.03	11-3121.00	10
13-1041.04	47-4011.00	1
13-1041.04	33-3021.03	2
13-1041.04	53-1031.00	3
13-1041.04	11-1021.00	4
13-1041.04	45-2011.00	5
13-1041.04	29-9012.00	6
13-1041.04	47-1011.00	7
13-1041.04	13-1199.01	8
13-1041.04	33-1011.00	9
13-1041.04	53-1021.00	10
13-1041.06	29-1071.00	1
13-1041.06	29-1161.00	2
13-1041.06	25-1071.00	3
13-1041.06	29-1171.00	4
13-1041.06	29-1141.04	5
13-1041.06	29-1199.04	6
13-1041.06	29-1122.00	7
13-1041.06	29-1011.00	8
13-1041.06	29-1062.00	9
13-1041.06	29-1141.02	10
13-1041.07	11-9199.01	1
13-1041.07	13-2099.02	2
13-1041.07	13-2011.02	3
13-1041.07	13-1161.00	4
13-1041.07	11-9121.01	5
13-1041.07	13-1141.00	6
13-1041.07	13-1081.02	7
13-1041.07	13-2053.00	8
13-1041.07	13-2041.00	9
13-1041.07	13-1023.00	10
13-1051.00	13-2099.02	1
13-1051.00	13-1081.02	2
13-1051.00	13-1023.00	3
13-1051.00	11-3071.03	4
13-1051.00	13-1161.00	5
13-1051.00	11-9199.04	6
13-1051.00	13-1041.07	7
13-1051.00	13-2051.00	8
13-1051.00	13-2031.00	9
13-1051.00	19-3099.01	10
13-1071.00	13-1111.00	1
13-1071.00	27-3031.00	2
13-1071.00	13-2099.04	3
13-1071.00	13-1151.00	4
13-1071.00	11-3121.00	5
13-1071.00	11-2031.00	6
13-1071.00	13-1161.00	7
13-1071.00	41-3031.02	8
13-1071.00	13-1041.03	9
13-1071.00	41-3021.00	10
13-1074.00	43-5071.00	1
13-1074.00	35-2012.00	2
13-1074.00	35-1012.00	3
13-1074.00	45-1011.07	4
13-1074.00	33-3041.00	5
13-1074.00	39-6011.00	6
13-1074.00	37-1011.00	7
13-1074.00	41-2031.00	8
13-1074.00	41-2021.00	9
13-1074.00	43-5061.00	10
13-1081.00	11-3071.03	1
13-1081.00	13-1081.02	2
13-1081.00	13-1023.00	3
13-1081.00	11-3071.01	4
13-1081.00	11-3061.00	5
13-1081.00	11-9199.04	6
13-1081.00	13-1111.00	7
13-1081.00	15-1122.00	8
13-1081.00	13-2099.02	9
13-1081.00	19-3099.01	10
13-1081.01	13-1081.02	1
13-1081.01	17-2199.03	2
13-1081.01	17-2111.02	3
13-1081.01	17-2071.00	4
13-1081.01	17-2072.00	5
13-1081.01	17-2051.01	6
13-1081.01	17-2151.00	7
13-1081.01	11-3071.03	8
13-1081.01	41-9031.00	9
13-1081.01	17-2112.00	10
13-1081.02	11-3071.03	1
13-1081.02	13-1081.00	2
13-1081.02	13-1023.00	3
13-1081.02	13-1081.01	4
13-1081.02	13-1051.00	5
13-1081.02	13-2099.02	6
13-1081.02	11-9199.04	7
13-1081.02	11-3071.01	8
13-1081.02	11-3061.00	9
13-1081.02	11-3071.02	10
13-1111.00	13-1071.00	1
13-1111.00	13-1151.00	2
13-1111.00	13-2099.04	3
13-1111.00	13-1161.00	4
13-1111.00	11-2021.00	5
13-1111.00	11-9199.01	6
13-1111.00	13-1023.00	7
13-1111.00	11-3071.01	8
13-1111.00	13-1081.00	9
13-1111.00	11-3131.00	10
13-1121.00	27-3031.00	1
13-1121.00	11-2011.00	2
13-1121.00	13-1011.00	3
13-1121.00	13-1071.00	4
13-1121.00	11-3011.00	5
13-1121.00	11-2031.00	6
